DataSource,Eruption,Ti_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,Hf_ppm,Ta_ppm,Th_ppm,U_ppm
Curryetal2021b,SnowshoeMountainTuff,11.14566497,0.292603954,397.5557584,397607.1789,1.72783345,0.06742815,17.17412618,0.060806792,0.795189204,1.557763459,0.334060357,8.05985998,2.708513079,32.87075798,12.48988403,63.2300177,14.05741272,131.6021843,28.23091886,9669.814216,0.666757082,63.75133033,110.1771107
Curryetal2021b,SnowshoeMountainTuff,3.495706535,0.377107508,1025.667672,409513.971,7.845241599,NA,16.66441472,0.018928021,0.460069908,1.578254267,0.829670275,11.14704298,4.366718225,66.5381583,30.4813375,176.9474343,44.0975166,477.8487505,121.3230651,9856.171598,1.329092868,122.072723,532.297665
Curryetal2021b,SnowshoeMountainTuff,6.599372257,0.48533268,844.1350291,424424.7148,4.48503203,0.597510392,39.62642615,0.253495202,1.924342725,3.03740334,0.703428589,16.67160688,5.585154296,70.31456654,27.09395373,137.8250009,30.06208955,287.1137347,62.4531973,10742.58263,1.59537673,251.4504352,350.9233898
Curryetal2021b,SnowshoeMountainTuff,15.52470555,0.266058939,689.0661887,426881.6564,1.369759377,0.009589414,15.55548751,0.137493731,2.166257423,3.676625975,0.851371847,17.09391728,5.042714805,59.94453578,21.8726719,105.4848726,21.96110371,208.5239402,43.5643784,8916.30731,0.641064869,78.73562827,108.2028637
Curryetal2021b,SnowshoeMountainTuff,10.42563148,0.282848769,465.7509728,418452.8068,1.439402715,0.134165256,16.91910743,0.077149718,0.897522055,1.824522702,0.489144281,9.790437097,3.0905586,38.8462669,14.74618634,73.950586,16.29051012,157.7701267,33.71743788,9446.951114,0.620762767,66.87221232,110.1183985
Curryetal2021b,SnowshoeMountainTuff,15.68133294,0.296953339,562.9161399,455933.0593,1.351427728,NA,17.80357715,0.065938817,1.190816515,2.72834736,0.707232282,13.32841447,4.046964932,48.27507061,18.08438195,87.94403421,18.56312989,175.2932587,37.27876931,9707.28366,0.578225404,85.57975791,125.6339339
Curryetal2021b,SnowshoeMountainTuff,18.82109127,0.334246883,1069.459292,413063.2121,0.996126676,0.03011418,17.59830737,0.311389136,4.872459032,7.594529368,1.724762474,31.44447176,8.972512928,100.4252338,34.92874273,160.7030429,32.12748944,285.8762517,59.20289244,8409.258678,0.48003499,118.0111891,121.6202707
Curryetal2021b,SnowshoeMountainTuff,14.78565,0.311488085,477.9193517,428098.8441,1.350458933,NA,16.5408794,0.053650052,1.052283727,2.28825977,0.639197399,11.49882398,3.493507692,41.01335414,14.79348875,73.85163926,15.44136565,147.3318516,30.84470836,9271.047643,0.525196986,64.29550203,93.78068036
Curryetal2021b,SnowshoeMountainTuff,13.12251156,0.331224482,453.6223706,396828.0712,1.162316781,NA,12.44913452,0.059116781,0.931410554,1.962210927,0.579183733,10.40370106,3.164660898,38.8749671,14.4104433,71.0329057,15.16761987,144.9692042,30.92179536,8558.056472,0.54221428,44.75704785,67.59902043
Curryetal2021b,SnowshoeMountainTuff,14.56125598,0.321541565,431.6648234,421104.6675,1.077709807,NA,13.86639609,0.043702776,0.785427489,1.870356834,0.469550432,9.827342748,3.102739349,37.31564519,13.82070966,67.11202806,14.24428483,135.1440633,28.50291855,9029.28513,0.497215913,50.11223469,74.49350643
