DataSource,Eruption,SiO2_wt,Al2O3_wt,FeO_wt,MgO_wt,MnO_wt,TiO2_wt,K2O_wt,Na2O_wt,CaO_wt,BaO_wt,F,Cl,H2O,Total
Curryetal2021a,SnowshoeMountainTuff,43.93,8.64,14.48,12.75,0.6957,2.13,0.9741,1.76,11.65,NA,NA,NM,NA,97.0759
Curryetal2021a,SnowshoeMountainTuff,45.17,8.44,13.67,13.42,0.6937,2.1,0.7335,1.76,11.71,NA,NA,NM,NA,97.7414
Curryetal2021a,SnowshoeMountainTuff,45.56,7.4,13.95,13.66,0.8502,1.6413,0.8104,1.6,11.51,NA,NA,NM,NA,97.0015
Curryetal2021a,SnowshoeMountainTuff,47.97,5.74,12.96,14.9,0.8732,1.1053,0.5761,1.36,11.62,NA,NA,NM,NA,97.1632
Curryetal2021a,SnowshoeMountainTuff,47.92,5.71,12.83,14.94,0.8474,1.0733,0.5953,1.291,11.57,NA,NA,NM,NA,96.777
Curryetal2021a,SnowshoeMountainTuff,46.66,5.99,13.08,15.11,0.8703,1.1891,0.6508,1.42,11.7,NA,NA,NM,NA,96.7014
Curryetal2021a,SnowshoeMountainTuff,46.86,6.53,13.35,14.24,0.8601,1.3678,0.6806,1.48,11.57,NA,NA,NM,NA,96.9666
Curryetal2021a,SnowshoeMountainTuff,46.79,6.44,13.17,14.28,0.8143,1.3544,0.6584,1.48,11.54,NA,NA,NM,NA,96.5278
Curryetal2021a,SnowshoeMountainTuff,41.56,11.19,14.21,12.25,0.5829,2.49,1.0978,2.18,11.64,NA,NA,NM,NA,97.2405
Curryetal2021a,SnowshoeMountainTuff,41.39,11.64,14.16,12.26,0.5293,2.51,1.0352,2.17,11.76,NA,NA,NM,NA,97.5007
Curryetal2021a,SnowshoeMountainTuff,41.45,11.42,14.12,12.21,0.5472,2.56,1.0095,2.19,11.84,NA,NA,NM,NA,97.3804
Curryetal2021a,SnowshoeMountainTuff,41.76,11.4,13.38,12.78,0.4667,2.28,0.9252,2.19,11.7,NA,NA,NM,NA,96.9117
Curryetal2021a,SnowshoeMountainTuff,42.14,10.92,13.82,12.69,0.5158,2.39,1.0629,2.12,11.69,NA,NA,NM,NA,97.3987
Curryetal2021a,SnowshoeMountainTuff,41.82,11.1,14.15,12.33,0.5415,2.58,1.0335,2.11,11.68,NA,NA,NM,NA,97.3906
Curryetal2021a,SnowshoeMountainTuff,41.92,10.81,14.12,12.45,0.5467,2.51,1.1573,2,11.88,NA,NA,NM,NA,97.4159
Curryetal2021a,SnowshoeMountainTuff,45.85,7.55,12.92,14.17,0.586,1.91,0.8371,1.63,11.78,NA,NA,NM,NA,97.2626
Curryetal2021a,SnowshoeMountainTuff,42.29,10.62,14.52,12.23,0.6145,2.45,1.0113,2.09,11.69,NA,NA,NM,NA,97.6081
Curryetal2021a,SnowshoeMountainTuff,42.68,10.26,14.34,12.62,0.5716,2.38,0.9228,2.03,11.79,NA,NA,NM,NA,97.6298
Curryetal2021a,SnowshoeMountainTuff,42.52,10.37,13.46,12.97,0.5103,2.28,1.1014,1.94,11.83,NA,NA,NM,NA,97.0439
Curryetal2021a,SnowshoeMountainTuff,42.27,10.59,13.75,12.58,0.5021,2.62,1.23,1.94,11.87,NA,NA,NM,NA,97.418
Curryetal2021a,SnowshoeMountainTuff,42.57,10.22,14.07,12.61,0.6121,2.36,1.021,1.99,11.8,NA,NA,NM,NA,97.27
Curryetal2021a,SnowshoeMountainTuff,41.64,11.04,14.04,12.38,0.4946,2.53,1.202,2,11.87,NA,NA,NM,NA,97.226
Curryetal2021a,SnowshoeMountainTuff,48.1,5.85,13.14,14.87,0.8692,1.1418,0.6431,1.36,11.57,NA,NA,NM,NA,97.5441
Curryetal2021a,SnowshoeMountainTuff,47.77,6.04,13.12,14.62,0.7355,1.2526,0.6815,1.3428,11.65,NA,NA,NM,NA,97.2124
Curryetal2021a,SnowshoeMountainTuff,47.98,6.05,13.37,14.72,0.7885,1.1941,0.6616,1.37,11.63,NA,NA,NM,NA,97.7703
